Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc
300-0424-343,500-0012-000,105515018,US GOVT CAMP BULLIS,,19540 FM 1535 #GSTA,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6345278,,,,,,,,General Service PL,,,52667,,,,,,,,31,3110,10,10,357.89,29.73,65.84,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,357.89,494.28,-260.74,233.54,591.43,591.43,2.1E+11
300-0424-351,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #9,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6582619,,,,,,,,General Service PL,,,22540,,,,,,,,31,2915,6,6,310.61,27.87,61.71,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,310.61,577.19,-308.98,268.21,578.82,578.82,2.1E+11
300-0424-355,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8048158,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-0424-358,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #WEL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8097705,,,,,,,,General Service PL,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-0424-366,500-0012-000,105515018,US GOVT CAMP BULLIS,,5257 CAMP BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8048124,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-105.29,-8.75,-114.04,-105.29,-105.29,2.1E+11
300-1401-926,500-0012-000,105515018,US GOVT CAMP BULLIS,,887 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301660,,,,,,,,General Service PL,,,24574,,,,,,,,31,24,0,0,11.22,0.23,0.51,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,11.22,23.32,-11.93,11.39,22.61,22.61,2.1E+11
300-1401-938,500-0012-000,105515018,US GOVT CAMP BULLIS,,888 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6162306,,,,,,,,General Service PL,,,86046,,,,,,,,31,26,0,0,11.42,0.25,0.55,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,11.42,214.91,-166.03,48.88,60.3,60.3,2.1E+11
300-1401-942,500-0012-000,105515018,US GOVT CAMP BULLIS,,1120 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301869,,,,,,,,General Service PL,,,38830,,,,,,,,31,601,9,9,70.45,5.75,12.72,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,70.45,85.95,-50.56,35.39,105.84,105.84,2.1E+11
300-1401-946,500-0012-000,105515018,US GOVT CAMP BULLIS,,1150 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533879,,,,,,,,General Service PL,,,14584,,,,,,,,31,105,10,10,28.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,28.75,92.1,-71.35,20.75,49.5,49.5,2.1E+11
300-1401-966,500-0012-000,105515018,US GOVT CAMP BULLIS,,5000 CMPB NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533870,,,,,,,,General Service PL,,,37287,,,,,,,,31,3921,14,14,456.76,37.48,83.01,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,456.76,727.75,-364.47,363.28,820.04,820.04,2.1E+11
300-1401-968,500-0012-000,105515018,US GOVT CAMP BULLIS,,5010 CMPB-NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533871,,,,,,,,General Service PL,,,3291,,,,,,,,31,20981,39,39,2078.69,200.58,444.17,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,2078.69,3963.62,-1934.74,2028.88,4107.57,4107.57,2.1E+11
300-1401-971,500-0012-000,105515018,US GOVT CAMP BULLIS,,5020 CMPB-NW MILITARY HWY #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463133,,,,,,,,General Service PL,,,4113,,,,,,,,31,7040,16,16,733.39,67.3,149.04,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,733.39,1115.8,-529.62,586.18,1319.57,1319.57,2.1E+11
