Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc,
300-3290-846,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2536 FSHGARDEN AVE,,6/7/2018,7/9/2018,4/19/2018,5/18/2018,4575477,6764960,4575477,6764960,,,,,General Service PL,,,3491,69,40,0,,,,,30,15300,56,59,1608.56,142.75,322.22,,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,1608.56,7405.86,-1321.78,6084.08,7695.88,7695.88,5.00006E+11,1611.8
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,2/18/2015,3/19/2015,4574226,4574226,,,,,,,Large Lighting and Power,,,2176,1974,,,,,,,30,80800,202,202,6697.17,552.67,"1,133.62",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,6697.17,0,0,0,6700.41,6700.41,1002375171,6700.41
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,3/20/2015,4/20/2015,4574226,,,,,,,,Large Lighting and Power,,,2473,,,,,,,,32,118800,242,242,9795.25,812.59,"2,140.78",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9795.25,6700.41,0,6700.41,16498.9,16498.9,1002375172,9798.49
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,4/21/2015,5/19/2015,4574226,,,,,,,,Large Lighting and Power,,,2702,,,,,,,,29,91600,214,214,7896.89,626.54,"1,733.99",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7896.89,16498.9,0,16498.9,24399.03,24399.03,1002375173,7900.13
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,5/20/2015,6/18/2015,4574226,,,,,,,,Large Lighting and Power,,,2953,,,,,,,,30,100400,240,240,9475.36,686.74,"2,093.34",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9475.36,24399.03,0,24399.03,33877.63,33877.63,1002375174,9478.6
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,6/19/2015,7/21/2015,4574226,,,,,,,,Large Lighting and Power,,,3259,,,,,,,,33,122400,260,260,10483.7,837.22,"1,866.60",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,10483.7,33877.63,0,33877.63,44364.57,44364.57,1002375175,10486.94
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,7/22/2015,8/20/2015,4574226,,,,,,,,Large Lighting and Power,,,3574,,,,,,,,30,126000,331,331,11575.6,861.84,"2,041.20",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,11575.6,44364.57,0,44364.57,55943.41,55943.41,1002375176,11578.84
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,8/21/2015,9/21/2015,4574226,6208095,,,,,,,Large Lighting and Power,,,3742,97,,,,,,,32,106000,216,216,8972.84,725.04,"1,583.64",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8972.84,55943.41,0,55943.41,64919.49,64919.49,1002375177,8976.08
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,9/22/2015,10/20/2015,6208095,,,,,,,,Large Lighting and Power,,,329,,,,,,,,29,92800,210,265,8162.87,634.75,"1,533.06",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8162.87,64919.49,0,64919.49,73085.6,73085.6,1002375178,8166.11
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,10/21/2015,11/17/2015,6208095,,,,,,,,Large Lighting and Power,,,542,,,,,,,,28,85200,213,265,7502.14,582.77,"1,226.03",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7502.14,73085.6,0,73085.6,80590.98,80590.98,1002375179,7505.38
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,11/18/2015,12/17/2015,6208095,,,,,,,,Large Lighting and Power,,,751,,,,,,,,30,83600,187,265,7766.63,571.82,"1,564.99",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7766.63,80590.98,0,80590.98,88360.85,88360.85,1002375180,7769.87
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,12/18/2015,1/21/2016,6208095,,,,,,,,Large Lighting and Power,,,982,,,,,,,,35,92400,206,265,7803.16,632.02,"1,191.96",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7803.16,88360.85,0,88360.85,96167.25,96167.25,1002375181,7806.4
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,1/22/2016,2/18/2016,6208095,,,,,,,,Large Lighting and Power,,,1197,,,,,,,,28,86000,199,265,7759.86,633.82,"1,400.94",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,7759.86,96167.25,0,96167.25,103930.35,103930.35,1002375182,7763.1
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,2/19/2016,3/18/2016,6208095,,,,,,,,Large Lighting and Power,,,1438,,,,,,,,29,96400,220,265,8310.84,710.47,"1,462.39",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8310.84,103930.35,0,103930.35,112244.43,112244.43,1002375183,8314.08
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,3/19/2016,4/19/2016,6208095,,,,,,,,Large Lighting and Power,,,1708,,,,,,,,32,108000,197,265,8883.78,795.96,"1,489.32",,,,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,8883.78,112244.43,0,112244.43,121131.45,121131.45,1002375184,8887.02
300-4189-036,500-0021-002,106814475,US GOVT FORT SAM HOUSTON ELECTRIC,,2128 FSHSUSTAINMENT,,6/7/2018,7/9/2018,4/20/2016,5/19/2016,6208095,6208095,,,,,,,Large Lighting and Power,,,1994,1711,,,,,,,30,114400,231,231,9330.34,8.84,19.93,834.28,"1,880.25",,,,,,,,,,,,,,0,0,0,,,,,,,3.24,0,0,9330.34,121131.45,0,121131.45,130465.03,130465.03,1002375185,9333.58
