Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc
300-3250-378,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,2059 FSH-BUCK RD,DHS,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-009842,,,,General Service,,,1653,,,,32,2,10.44,-0.09,,,,,,0,0,0,10.44,-5.12,-20.05,-25.17,-14.73,-14.73,907231460
300-3250-379,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,2840 FSH-STANLEY RD #HP,DAPS,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1-014123,,,,General Service,,,52513,,,,,,9.55,,,,,,,0,0,0,9.55,-1.59,-19.10,-20.69,-11.14,-11.14,907231461
300-3250-380,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,2840 FSH-STANLEY RD #IP,DAPS,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,781,0,,,,,,,1-001041,1-001042,,,Large Volume Gas,,,35223,59195,,,32,20123,6617.17,-858.65,,,,,,0,0,0,6617.17,28012.51,-11628.62,16383.89,23001.06,23001.06,907231462
300-3250-381,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,4190 FSH-9TH STREET,DAPS,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-004126,,,,General Service,,,28958,,,,32,258,124.96,-11.01,,,,,,0,0,0,124.96,954.91,-392.05,562.86,687.82,687.82,907231463
300-3250-382,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,360 FSH -FUNSTON #HP,DECA,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-000554,,,,Industrial Gas Class B,,,60747,,,,32,2464,1100.33,-105.14,,,,,,0,0,0,1100.33,5182.20,-2152.34,3029.86,4130.19,4130.19,907231464
300-3250-383,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,367 FSH-STANLEY RD #GS,DFAS,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-013998,,,,General Service,,,5563,,,,32,469,219.35,-20.01,,,,,,0,0,0,219.35,-575.06,-308.61,-883.67,-664.32,-664.32,907231465
300-3250-384,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,368 FSH-STANLEY RD,USP,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,3124136,,,,General Service,,,25,,,,32,0,9.55,,,,,,,0,0,0,9.55,17.10,-19.10,-2.00,7.55,7.55,907231466
300-3250-386,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,4050 FSH-PETROLEUM DR #IP,TSRL,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,"1,111",0,,,,,,,3049215,,,,Large Volume Gas,,,89130,,,,32,33739,10652.33,"-1,439.64",,,,,,0,0,0,10652.33,7995.74,-15391.43,-7395.69,3256.64,3256.64,907231467
300-3250-387,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,3882 FSH-GARDEN AVE,FAM HOUSING,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-016298,,,,General Service,,,34911,,,,32,10,14.02,-0.43,,,,,,0,0,0,14.02,-30.89,-29.09,-59.98,-45.96,-45.96,907231468
300-3250-388,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,407 FSH-DICKMAN,FAM HOUSING,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-900430,,,,General Service,,,4750,,,,32,109,58.31,-4.65,,,,,,0,0,0,58.31,-29.71,-96.89,-126.60,-68.29,-68.29,907231469
300-3250-389,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,1881 FSH,GC,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,3123187,,,,General Service,,,6572,,,,32,88,48.92,-3.75,,,,,,0,0,0,48.92,862.05,-189.25,672.80,721.72,721.72,907231470
300-3250-390,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,2901 FSH,GC,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,5030058,,,,General Service,,,4043,,,,32,416,195.64,-17.75,,,,,,0,0,0,195.64,1021.24,-324.79,696.45,892.09,892.09,907231471
300-3250-391,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,2521 FSH-PATCH RD,MWR CAT C,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,1-032272,,,,General Service,,,50955,,,,32,26,21.18,-1.11,,,,,,0,0,0,21.18,183.72,-161.77,21.95,43.13,43.13,907231472
300-4303-057,500-0020-912,106814196,US GOVT FT SAM HOUSTON MISC GAS,,133 FSH-STANLEY RD,,4/30/2020,6/1/2020,3/20/2020,4/20/2020,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,5034593,,,,General Service,,,311,,,,32,19,18.05,-0.81,,,,,,0,0,0,18.05,105.78,0,105.78,123.83,123.83,907231473
